TDNTuple4Agt: USESYM:true, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true;;;;;;;;1308657.32;;
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1;;;;;;;;15 days (!);;
from: multiEval/TCL4-p13-ET16-3000k-120-7t-nsym24_01.agt.zip;;;;;;;;;;
run; agtFile; gameNum; nSym; pMinEval; pMaxEval; evalQ; evalT; totalSec; iterMWrap; userVal2
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;14;14;0.1;0;0.747;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;14;14;0.19;0;26.596;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;14;14;0.27;0;50.741;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;14;14;0.26;0;117.485;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;14;14;0.375;0;232.854;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;14;14;0.44;0;452.595;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;15;15;0.05;0;0.666;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;15;15;0.145;0;27.067;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;15;15;0.15;0;57.768;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;15;15;0.185;0;127.208;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;15;15;0.325;0;245.324;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;15;15;0.275;0;569.503;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;16;16;0.06;0;0.503;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;16;16;0.105;0;28.493;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;16;16;0.13;0;60.195;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;16;16;0.14;0;136.203;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;16;16;0.225;0;284.421;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;16;16;0.225;0;604.183;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;17;17;0.025;0;0.515;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;17;17;0.035;0;30.225;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;17;17;0.105;0;61.497;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;17;17;0.08;0;142.415;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;17;17;0.115;0;320.537;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;17;17;0.19;0;644.063;800;0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;18;18;0.035;0;0.602;0;0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;18;18;0.065;0;30.103;50;0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;18;18;0.07;0;64.831;100;0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;18;18;0.08;0;145.554;200;0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;18;18;0.09;0;331.302;400;0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip;3000000;0;18;18;0.12;0;674.147;800;0
