TDNTuple4Agt: USESYM:true, nSym:24, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
from: multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_00.agt.zip
run; agtFile; gameNum; nSym; pMinEval; pMaxEval; evalQ; evalT; totalSec; iterMWrap; userVal2
0; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 1; 1; 1.0; 0.0; 0.27; 0.0; 0.0
1; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 1; 1; 1.0; 0.0; 0.328; 100.0; 0.0
2; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 1; 1; 1.0; 0.0; 7.237; 800.0; 0.0
0; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 2; 2; 1.0; 0.0; 0.39; 0.0; 0.0
1; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 2; 2; 1.0; 0.0; 5.164; 100.0; 0.0
2; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 2; 2; 1.0; 0.0; 16.533; 800.0; 0.0
0; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 3; 3; 1.0; 0.0; 0.461; 0.0; 0.0
1; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 3; 3; 1.0; 0.0; 8.666; 100.0; 0.0
2; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 3; 3; 1.0; 0.0; 30.206; 800.0; 0.0
0; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 4; 4; 1.0; 0.0; 0.633; 0.0; 0.0
1; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 4; 4; 1.0; 0.0; 12.739; 100.0; 0.0
2; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 4; 4; 1.0; 0.0; 48.557; 800.0; 0.0
0; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 5; 5; 1.0; 0.0; 0.787; 0.0; 0.0
1; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 5; 5; 1.0; 0.0; 16.816; 100.0; 0.0
2; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 5; 5; 0.975; 0.0; 111.732; 800.0; 0.0
0; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 6; 6; 0.995; 0.0; 1.097; 0.0; 0.0
1; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 6; 6; 1.0; 0.0; 20.414; 100.0; 0.0
2; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 6; 6; 0.95; 0.0; 160.828; 800.0; 0.0
0; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 7; 7; 0.99; 0.0; 1.396; 0.0; 0.0
1; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 7; 7; 1.0; 0.0; 24.865; 100.0; 0.0
2; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 7; 7; 0.935; 0.0; 221.653; 800.0; 0.0
0; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 8; 8; 0.9; 0.0; 2.496; 0.0; 0.0
1; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 8; 8; 1.0; 0.0; 29.278; 100.0; 0.0
2; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 8; 8; 0.965; 0.0; 191.31; 800.0; 0.0
0; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 9; 9; 0.81; 0.0; 3.362; 0.0; 0.0
1; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 9; 9; 0.95; 0.0; 82.492; 100.0; 0.0
2; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 9; 9; 0.955; 0.0; 264.994; 800.0; 0.0
0; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 10; 10; 0.665; 0.0; 5.014; 0.0; 0.0
1; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 10; 10; 0.85; 0.0; 185.441; 100.0; 0.0
2; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 10; 10; 0.855; 0.0; 876.958; 800.0; 0.0
0; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 11; 11; 0.595; 0.0; 5.634; 0.0; 0.0
1; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 11; 11; 0.75; 0.0; 301.747; 100.0; 0.0
2; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 11; 11; 0.765; 0.0; 1575.99; 800.0; 0.0
0; multiEval/TCL4-p26-ET29-10000k-120-7t-nsym24_01.agt.zip; 10000000; 24; 12; 12; 0.355; 0.0; 7.89; 0.0; 0.0
