TDNTuple4Agt: USESYM:true, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
from: multiEval/TCL4-p13-3000k-120-7t-nSym16_00.agt.zip
run; agtFile; gameNum; nSym; pMinEval; pMaxEval; evalQ; evalT; totalSec; iterMWrap; userVal2
0; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 1; 1; 1.0; 0.0; 0.233; 0.0; 0.0
1; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 1; 1; 1.0; 0.0; 0.238; 50.0; 0.0
2; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 1; 1; 1.0; 0.0; 0.177; 100.0; 0.0
3; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 1; 1; 1.0; 0.0; 4.457; 200.0; 0.0
4; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 1; 1; 1.0; 0.0; 7.582; 400.0; 0.0
5; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 1; 1; 1.0; 0.0; 8.813; 800.0; 0.0
0; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 2; 2; 1.0; 0.0; 0.32; 0.0; 0.0
1; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 2; 2; 1.0; 0.0; 0.411; 50.0; 0.0
2; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 2; 2; 1.0; 0.0; 5.15; 100.0; 0.0
3; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 2; 2; 1.0; 0.0; 11.946; 200.0; 0.0
4; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 2; 2; 1.0; 0.0; 15.517; 400.0; 0.0
5; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 2; 2; 1.0; 0.0; 18.18; 800.0; 0.0
0; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 3; 3; 1.0; 0.0; 0.318; 0.0; 0.0
1; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 3; 3; 1.0; 0.0; 1.424; 50.0; 0.0
2; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 3; 3; 1.0; 0.0; 8.506; 100.0; 0.0
3; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 3; 3; 1.0; 0.0; 18.872; 200.0; 0.0
4; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 3; 3; 1.0; 0.0; 22.453; 400.0; 0.0
5; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 3; 3; 1.0; 0.0; 28.05; 800.0; 0.0
0; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 4; 4; 1.0; 0.0; 0.499; 0.0; 0.0
1; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 4; 4; 1.0; 0.0; 4.287; 50.0; 0.0
2; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 4; 4; 1.0; 0.0; 15.861; 100.0; 0.0
3; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 4; 4; 1.0; 0.0; 25.421; 200.0; 0.0
4; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 4; 4; 1.0; 0.0; 31.486; 400.0; 0.0
5; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 4; 4; 1.0; 0.0; 36.94; 800.0; 0.0
0; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 5; 5; 1.0; 0.0; 0.64; 0.0; 0.0
1; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 5; 5; 1.0; 0.0; 7.269; 50.0; 0.0
2; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 5; 5; 1.0; 0.0; 21.707; 100.0; 0.0
3; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 5; 5; 1.0; 0.0; 30.994; 200.0; 0.0
4; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 5; 5; 1.0; 0.0; 37.418; 400.0; 0.0
5; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 5; 5; 1.0; 0.0; 63.002; 800.0; 0.0
0; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 6; 6; 0.995; 0.0; 0.814; 0.0; 0.0
1; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 6; 6; 0.995; 0.0; 13.738; 50.0; 0.0
2; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 6; 6; 1.0; 0.0; 27.724; 100.0; 0.0
3; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 6; 6; 1.0; 0.0; 36.586; 200.0; 0.0
4; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 6; 6; 1.0; 0.0; 47.205; 400.0; 0.0
5; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 6; 6; 0.99; 0.0; 92.175; 800.0; 0.0
0; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 7; 7; 0.96; 0.0; 1.896; 0.0; 0.0
1; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 7; 7; 0.985; 0.0; 22.575; 50.0; 0.0
2; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 7; 7; 0.99; 0.0; 39.304; 100.0; 0.0
3; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 7; 7; 1.0; 0.0; 42.408; 200.0; 0.0
4; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 7; 7; 1.0; 0.0; 67.994; 400.0; 0.0
5; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 7; 7; 1.0; 0.0; 126.546; 800.0; 0.0
0; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 8; 8; 0.915; 0.0; 1.849; 0.0; 0.0
1; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 8; 8; 0.935; 0.0; 46.448; 50.0; 0.0
2; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 8; 8; 0.985; 0.0; 47.229; 100.0; 0.0
3; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 8; 8; 1.0; 0.0; 47.16; 200.0; 0.0
4; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 8; 8; 0.995; 0.0; 86.198; 400.0; 0.0
5; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 8; 8; 0.99; 0.0; 153.41; 800.0; 0.0
0; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 9; 9; 0.75; 0.0; 3.277; 0.0; 0.0
1; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 9; 9; 0.895; 0.0; 67.768; 50.0; 0.0
2; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 9; 9; 0.945; 0.0; 89.352; 100.0; 0.0
3; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 9; 9; 0.98; 0.0; 94.461; 200.0; 0.0
4; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 9; 9; 0.975; 0.0; 152.375; 400.0; 0.0
5; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 9; 9; 0.985; 0.0; 253.917; 800.0; 0.0
0; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 10; 10; 0.61; 0.0; 4.536; 0.0; 0.0
1; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 10; 10; 0.785; 0.0; 116.072; 50.0; 0.0
2; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 10; 10; 0.945; 0.0; 90.407; 100.0; 0.0
3; multiEval/TCL4-p13-3000k-120-7t-nSym16_02.agt.zip; 3000000; 16; 10; 10; 0.955; 0.0; 147.325; 200.0; 0.0
