TDNTuple4Agt: USESYM:true, P:12, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 120 7-tuple, evalQ: 1, evalT: -1
from: multiEval/TCL4-p13-ET16-3000k-120-7t-nsym08_00.agt.zip
run; agtFile; gameNum; nSym; pMinEval; pMaxEval; evalQ; evalT; totalSec; iterMWrap; userVal2
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 14; 14; 0.09999999999999998; 0.0; 0.747; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 14; 14; 0.18999999999999995; 0.0; 26.596; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 14; 14; 0.27; 0.0; 50.741; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 14; 14; 0.26; 0.0; 117.485; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 14; 14; 0.375; 0.0; 232.854; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 14; 14; 0.43999999999999995; 0.0; 452.595; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 15; 15; 0.050000000000000044; 0.0; 0.666; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 15; 15; 0.14500000000000002; 0.0; 27.067; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 15; 15; 0.15000000000000002; 0.0; 57.768; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 15; 15; 0.18500000000000005; 0.0; 127.208; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 15; 15; 0.32499999999999996; 0.0; 245.324; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 15; 15; 0.275; 0.0; 569.503; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 16; 16; 0.06000000000000005; 0.0; 0.503; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 16; 16; 0.10499999999999998; 0.0; 28.493; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 16; 16; 0.13; 0.0; 60.195; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 16; 16; 0.14; 0.0; 136.203; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 16; 16; 0.22499999999999998; 0.0; 284.421; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 16; 16; 0.22499999999999998; 0.0; 604.183; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 17; 17; 0.025000000000000022; 0.0; 0.515; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 17; 17; 0.03500000000000003; 0.0; 30.225; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 17; 17; 0.10499999999999998; 0.0; 61.497; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 17; 17; 0.07999999999999996; 0.0; 142.415; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 17; 17; 0.11499999999999999; 0.0; 320.537; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 17; 17; 0.18999999999999995; 0.0; 644.063; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 18; 18; 0.03500000000000003; 0.0; 0.602; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 18; 18; 0.06499999999999995; 0.0; 30.103; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 18; 18; 0.06999999999999995; 0.0; 64.831; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 18; 18; 0.07999999999999996; 0.0; 145.554; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 18; 18; 0.08999999999999997; 0.0; 331.302; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 18; 18; 0.12; 0.0; 674.147; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 19; 19; 0.020000000000000018; 0.0; 0.517; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 19; 19; 0.020000000000000018; 0.0; 30.787; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 19; 19; 0.040000000000000036; 0.0; 66.279; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 19; 19; 0.05500000000000005; 0.0; 146.619; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 19; 19; 0.050000000000000044; 0.0; 340.297; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 19; 19; 0.05500000000000005; 0.0; 726.664; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 20; 20; 0.0050000000000000044; 0.0; 0.52; 0.0; 0.0
1; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 20; 20; 0.010000000000000009; 0.0; 31.217; 50.0; 0.0
2; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 20; 20; 0.04500000000000004; 0.0; 65.063; 100.0; 0.0
3; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 20; 20; 0.050000000000000044; 0.0; 149.374; 200.0; 0.0
4; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 20; 20; 0.040000000000000036; 0.0; 346.702; 400.0; 0.0
5; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 20; 20; 0.040000000000000036; 0.0; 739.456; 800.0; 0.0
0; multiEval/TCL4-p13-ET16-3000k-120-7t_02.agt.zip; 3000000; 0; 21; 21; 0.0050000000000000044; 0.0; 0.53; 0.0; 0.0
