P0: controllers.MCTS.MCTSAgentT: iterations:10000, rollout depth:200, K_UCT:1.414, tree depth:10
P0: controllers.MCTS.MCTSAgentT:
P1: controllers.MCTS.MCTSAgentT: iterations:10000, rollout depth:200, K_UCT:1.414, tree depth:10
P1: controllers.MCTS.MCTSAgentT:
P2: controllers.MCTS.MCTSAgentT: iterations:10000, rollout depth:200, K_UCT:1.414, tree depth:10
P2: controllers.MCTS.MCTSAgentT:
Start state = __________________________________________________________________
run, moveNum, player, action, gameScore, nEmptyTile, cumEmptyTl, highestTile
1, 0, 0, -1, +0.00, 0, 0, 0
1, 1, 1, 2, +0.00, 0, 0, 0
1, 2, 2, 48, +0.00, 0, 0, 0
1, 3, 0, 13, +0.00, 0, 0, 0
1, 4, 1, 42, +0.00, 0, 0, 0
1, 5, 2, 37, +0.00, 0, 0, 0
1, 6, 0, 29, +0.00, 0, 0, 0
1, 7, 1, 52, +0.00, 0, 0, 0
1, 8, 2, 0, +0.00, 0, 0, 0
1, 9, 0, 8, +0.00, 0, 0, 0
1, 10, 1, 10, +0.00, 0, 0, 0
1, 11, 2, 28, +0.00, 0, 0, 0
1, 12, 0, 65, +0.00, 0, 0, 0
1, 13, 1, 38, +0.00, 0, 0, 0
1, 14, 2, 21, +0.00, 0, 0, 0
1, 15, 0, 31, +0.00, 0, 0, 0
1, 16, 1, 19, +0.00, 0, 0, 0
1, 17, 2, 41, +0.00, 0, 0, 0
1, 18, 0, 56, +0.00, 0, 0, 0
1, 19, 1, 1, +0.00, 0, 0, 0
1, 20, 2, 57, +0.00, 0, 0, 0
1, 21, 0, 51, +0.00, 0, 0, 0
1, 22, 1, 9, +0.00, 0, 0, 0
1, 23, 2, 40, +0.00, 0, 0, 0
1, 24, 0, 18, +0.00, 0, 0, 0
1, 25, 1, 33, +0.00, 0, 0, 0
1, 26, 2, 39, +0.00, 0, 0, 0
1, 27, 0, 3, +0.00, 0, 0, 0
1, 28, 1, 25, +0.00, 0, 0, 0
1, 29, 2, 58, +0.00, 0, 0, 0
1, 30, 0, 4, +0.00, 0, 0, 0
1, 31, 1, 20, +0.00, 0, 0, 0
1, 32, 2, 14, +0.00, 0, 0, 0
1, 33, 0, 26, +0.00, 0, 0, 0
1, 34, 1, 35, +0.00, 0, 0, 0
1, 35, 2, 27, +0.00, 0, 0, 0
1, 36, 0, 61, +0.00, 0, 0, 0
1, 37, 1, 59, +0.00, 0, 0, 0
1, 38, 2, 7, +0.00, 0, 0, 0
1, 39, 0, 54, +0.00, 0, 0, 0
1, 40, 1, 11, +0.00, 0, 0, 0
1, 41, 2, 12, +0.00, 0, 0, 0
1, 42, 0, 24, +0.00, 0, 0, 0
1, 43, 1, 22, +0.00, 0, 0, 0
1, 44, 2, 49, +0.00, 0, 0, 0
1, 45, 0, 30, +0.00, 0, 0, 0
1, 46, 1, 64, +0.00, 0, 0, 0
1, 47, 2, 50, +0.00, 0, 0, 0
1, 48, 0, 34, +0.00, 0, 0, 0
1, 49, 1, 46, +0.00, 0, 0, 0
1, 50, 2, 5, +0.00, 0, 0, 0
1, 51, 0, 32, +0.00, 0, 0, 0
1, 52, 1, 60, +0.00, 0, 0, 0
1, 53, 2, 16, +0.00, 0, 0, 0
1, 54, 0, 17, +0.00, 0, 0, 0
1, 55, 1, 47, +0.00, 0, 0, 0
1, 56, 2, 53, +0.00, 0, 0, 0
1, 57, 0, 15, +0.00, 0, 0, 0
1, 58, 1, 55, +0.00, 0, 0, 0
1, 59, 2, 44, +0.00, 0, 0, 0
1, 60, 0, 63, +0.00, 0, 0, 0
1, 61, 1, 43, +0.00, 0, 0, 0
1, 62, 2, 36, +0.00, 0, 0, 0
1, 63, 0, 23, +0.00, 0, 0, 0
1, 64, 2, 45, +1.00, 0, 0, 0
