P0: controllers.MCTS.MCTSAgentT: iterations:1000, rollout depth:200, K_UCT:1.414, tree depth:10
P0: controllers.MCTS.MCTSAgentT:
P1: controllers.MCTS.MCTSAgentT: iterations:1000, rollout depth:200, K_UCT:1.414, tree depth:10
P1: controllers.MCTS.MCTSAgentT:
Start state = ______________________________________________________________________________________________________________________________________________________________________________________________
run, moveNum, player, action, gameScore, nEmptyTile, cumEmptyTl, highestTile
1, 0, 0, -1, +0.00, 0, 0, 0
1, 1, 1, 107, +0.00, 0, 0, 0
1, 2, 0, 150, +0.00, 0, 0, 0
1, 3, 1, 114, +0.00, 0, 0, 0
1, 4, 0, 31, +0.00, 0, 0, 0
1, 5, 1, 33, +0.00, 0, 0, 0
1, 6, 0, 96, +0.00, 0, 0, 0
1, 7, 1, 3, +0.00, 0, 0, 0
1, 8, 0, 110, +0.00, 0, 0, 0
1, 9, 1, 50, +0.00, 0, 0, 0
1, 10, 0, 133, +0.00, 0, 0, 0
1, 11, 1, 88, +0.00, 0, 0, 0
1, 12, 0, 64, +0.00, 0, 0, 0
1, 13, 1, 158, +0.00, 0, 0, 0
1, 14, 0, 12, +0.00, 0, 0, 0
1, 15, 1, 177, +0.00, 0, 0, 0
1, 16, 0, 115, +0.00, 0, 0, 0
1, 17, 1, 146, +0.00, 0, 0, 0
1, 18, 0, 105, +0.00, 0, 0, 0
1, 19, 1, 140, +0.00, 0, 0, 0
1, 20, 0, 69, +0.00, 0, 0, 0
1, 21, 1, 18, +0.00, 0, 0, 0
1, 22, 0, 30, +0.00, 0, 0, 0
1, 23, 1, 67, +0.00, 0, 0, 0
1, 24, 0, 57, +0.00, 0, 0, 0
1, 25, 1, 15, +0.00, 0, 0, 0
1, 26, 0, 44, +0.00, 0, 0, 0
1, 27, 1, 109, +0.00, 0, 0, 0
1, 28, 0, 130, +0.00, 0, 0, 0
1, 29, 1, 175, +0.00, 0, 0, 0
1, 30, 0, 29, +0.00, 0, 0, 0
1, 31, 1, 22, +0.00, 0, 0, 0
1, 32, 0, 119, +0.00, 0, 0, 0
1, 33, 1, 72, +0.00, 0, 0, 0
1, 34, 0, 178, +0.00, 0, 0, 0
1, 35, 1, 138, +0.00, 0, 0, 0
1, 36, 0, 63, +0.00, 0, 0, 0
1, 37, 1, 183, +0.00, 0, 0, 0
1, 38, 0, 113, +0.00, 0, 0, 0
1, 39, 1, 17, +0.00, 0, 0, 0
1, 40, 0, 79, +0.00, 0, 0, 0
1, 41, 1, 20, +0.00, 0, 0, 0
1, 42, 0, 78, +0.00, 0, 0, 0
1, 43, 1, 162, +0.00, 0, 0, 0
1, 44, 0, 40, +0.00, 0, 0, 0
1, 45, 1, 124, +0.00, 0, 0, 0
1, 46, 0, 34, +0.00, 0, 0, 0
1, 47, 1, 176, +0.00, 0, 0, 0
1, 48, 0, 48, +0.00, 0, 0, 0
1, 49, 1, 23, +0.00, 0, 0, 0
1, 50, 0, 7, +0.00, 0, 0, 0
1, 51, 1, 168, +0.00, 0, 0, 0
1, 52, 0, 125, +0.00, 0, 0, 0
1, 53, 1, 76, +0.00, 0, 0, 0
1, 54, 0, 101, +0.00, 0, 0, 0
1, 55, 1, 152, +0.00, 0, 0, 0
1, 56, 0, 28, +0.00, 0, 0, 0
1, 57, 1, 169, +0.00, 0, 0, 0
1, 58, 0, 141, +0.00, 0, 0, 0
1, 59, 1, 8, +0.00, 0, 0, 0
1, 60, 0, 45, +0.00, 0, 0, 0
1, 61, 1, 80, +0.00, 0, 0, 0
1, 62, 0, 62, +0.00, 0, 0, 0
1, 63, 1, 148, +0.00, 0, 0, 0
1, 64, 0, 85, +0.00, 0, 0, 0
1, 65, 1, 58, +0.00, 0, 0, 0
1, 66, 0, 81, +0.00, 0, 0, 0
1, 67, 1, 100, +0.00, 0, 0, 0
1, 68, 0, 184, +0.00, 0, 0, 0
1, 69, 1, 126, +0.00, 0, 0, 0
1, 70, 0, 51, +0.00, 0, 0, 0
1, 71, 1, 90, +0.00, 0, 0, 0
1, 72, 0, 104, +0.00, 0, 0, 0
1, 73, 1, 134, +0.00, 0, 0, 0
1, 74, 0, 86, +0.00, 0, 0, 0
1, 75, 1, 160, +0.00, 0, 0, 0
1, 76, 0, 187, +0.00, 0, 0, 0
1, 77, 1, 155, +0.00, 0, 0, 0
1, 78, 0, 27, +0.00, 0, 0, 0
1, 79, 1, 82, +0.00, 0, 0, 0
1, 80, 0, 77, +0.00, 0, 0, 0
1, 81, 1, 165, +0.00, 0, 0, 0
1, 82, 0, 181, +0.00, 0, 0, 0
1, 83, 1, 2, +0.00, 0, 0, 0
1, 84, 0, 66, +0.00, 0, 0, 0
1, 85, 1, 117, +0.00, 0, 0, 0
1, 86, 0, 1, +0.00, 0, 0, 0
1, 87, 1, 39, +0.00, 0, 0, 0
1, 88, 0, 98, +0.00, 0, 0, 0
1, 89, 1, 99, +0.00, 0, 0, 0
1, 90, 0, 170, +0.00, 0, 0, 0
1, 91, 1, 21, +0.00, 0, 0, 0
1, 92, 0, 11, +0.00, 0, 0, 0
1, 93, 1, 36, +0.00, 0, 0, 0
1, 94, 0, 70, +0.00, 0, 0, 0
1, 95, 1, 89, +0.00, 0, 0, 0
1, 96, 0, 122, +0.00, 0, 0, 0
1, 97, 1, 60, +0.00, 0, 0, 0
1, 98, 0, 153, +0.00, 0, 0, 0
1, 99, 1, 49, +0.00, 0, 0, 0
1, 100, 0, 164, +0.00, 0, 0, 0
1, 101, 1, 120, +0.00, 0, 0, 0
1, 102, 0, 189, +0.00, 0, 0, 0
1, 103, 1, 123, +0.00, 0, 0, 0
1, 104, 0, 144, +0.00, 0, 0, 0
1, 105, 1, 166, +0.00, 0, 0, 0
1, 106, 0, 139, +0.00, 0, 0, 0
1, 107, 1, 142, +0.00, 0, 0, 0
1, 108, 0, 4, +0.00, 0, 0, 0
1, 109, 1, 47, +0.00, 0, 0, 0
1, 110, 0, 161, +0.00, 0, 0, 0
1, 111, 1, 52, +0.00, 0, 0, 0
1, 112, 0, 73, +0.00, 0, 0, 0
1, 113, 1, 42, +0.00, 0, 0, 0
