P0: controllers.MCTS.MCTSAgentT: iterations:1000, rollout depth:200, K_UCT:1.414, tree depth:10
P0: controllers.MCTS.MCTSAgentT:
P1: controllers.MCTS.MCTSAgentT: iterations:1000, rollout depth:200, K_UCT:1.414, tree depth:10
P1: controllers.MCTS.MCTSAgentT:
P2: controllers.MCTS.MCTSAgentT: iterations:1000, rollout depth:200, K_UCT:1.414, tree depth:10
P2: controllers.MCTS.MCTSAgentT:
Start state = _____________________
run, moveNum, player, action, gameScore, nEmptyTile, cumEmptyTl, highestTile
1, 0, 0, -1, +0.00, 0, 0, 0
1, 1, 1, 6, +0.00, 0, 0, 0
1, 2, 2, 2, +0.00, 0, 0, 0
1, 3, 0, 16, +0.00, 0, 0, 0
1, 4, 1, 5, +0.00, 0, 0, 0
1, 5, 2, 17, +0.00, 0, 0, 0
1, 6, 0, 4, +0.00, 0, 0, 0
1, 7, 1, 20, +0.00, 0, 0, 0
1, 8, 2, 18, +0.00, 0, 0, 0
1, 9, 0, 19, +0.00, 0, 0, 0
1, 10, 1, 3, +0.00, 0, 0, 0
1, 11, 2, 9, +0.00, 0, 0, 0
1, 12, 0, 7, +0.00, 0, 0, 0
1, 13, 1, 15, +0.00, 0, 0, 0
1, 14, 2, 10, +0.00, 0, 0, 0
1, 15, 0, 8, +0.00, 0, 0, 0
1, 16, 1, 0, +0.00, 0, 0, 0
1, 17, 2, 13, +0.00, 0, 0, 0
1, 18, 0, 11, +0.00, 0, 0, 0
1, 19, 1, 14, +0.00, 0, 0, 0
1, 20, 2, 1, +0.00, 0, 0, 0
1, 21, 0, 12, +0.00, 0, 0, 0
