P0: controllers.MCTS.MCTSAgentT: iterations:1000, rollout depth:200, K_UCT:1.414, tree depth:10
P0: controllers.MCTS.MCTSAgentT:
P1: HumanPlayer
P1: controllers.HumanPlayer:
Start state = ____________________________________
run, moveNum, player, action, gameScore, nEmptyTile, cumEmptyTl, highestTile
1, 0, 0, -1, +0.00, 0, 0, 0
1, 1, 1, 26, +0.00, 0, 0, 0
1, 3, 1, 27, +0.00, 0, 0, 0
1, 5, 1, 35, +0.00, 0, 0, 0
1, 7, 1, 8, +0.00, 0, 0, 0
1, 9, 1, 17, +0.00, 0, 0, 0
1, 11, 1, 2, +0.00, 0, 0, 0
1, 13, 1, 18, +0.00, 0, 0, 0
1, 15, 1, 31, +0.00, 0, 0, 0
1, 17, 1, 29, +0.00, 0, 0, 0
1, 19, 1, 7, +0.00, 0, 0, 0
1, 21, 1, 1, +0.00, 0, 0, 0
