P0: controllers.MCTS.MCTSAgentT: iterations:1000, rollout depth:200, K_UCT:1.414, tree depth:10
P0: controllers.MCTS.MCTSAgentT:
P1: RandomAgent
P1: controllers.RandomAgent:
Start state = ---------------
run, moveNum, player, action, gameScore, nEmptyTile, cumEmptyTl, highestTile
1, 0, 0, -1, +0.00, 0, 0, 0
1, 1, 1, 2, -1.00, 0, 0, 0
1, 2, 0, 12, -1.00, 0, 0, 0
1, 3, 1, 5, -1.00, 0, 0, 0
1, 4, 0, 4, -1.00, 0, 0, 0
1, 5, 1, 13, -1.00, 0, 0, 0
1, 6, 0, 14, -1.00, 0, 0, 0
1, 7, 1, 10, -1.00, 0, 0, 0
1, 8, 0, 11, -1.00, 0, 0, 0
1, 9, 1, 9, -1.00, 0, 0, 0
1, 10, 0, 8, -1.00, 0, 0, 0
1, 11, 1, 0, -1.00, 0, 0, 0
1, 12, 0, 3, +1.00, 0, 0, 0
