TDNTuple3Agt: USESYM:true, P:3, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:1.0->0.5, epsilon_init->final:0.1->0.0, gamma: 1.0, random 1 9-tuple, evalQ: 2, evalT: 1
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 1000, -0.65, -0.5, 4411, 5411, 0.113, 39035.398230088496, 0.0, 0.0
0, 2000, -0.65, -0.5, 8599, 10599, 0.146, 58897.260273972606, 0.0, 0.0
0, 3000, -0.45, 0.0, 12785, 15785, 0.169, 75650.88757396449, 0.0, 0.0
0, 4000, -0.65, -0.5, 16958, 20958, 0.19, 89252.63157894737, 0.0, 0.0
0, 5000, -0.6, -0.5, 21098, 26098, 0.211, 99990.52132701423, 0.0, 0.0
0, 6000, -0.5, -0.5, 25236, 31236, 0.233, 108309.01287553647, 0.0, 0.0
0, 7000, -0.45, 0.0, 29326, 36326, 0.254, 115456.69291338582, 0.0, 0.0
0, 8000, -0.6, -0.5, 33405, 41405, 0.275, 121472.72727272726, 0.0, 0.0
0, 9000, -0.5, 0.0, 37429, 46429, 0.3, 124763.33333333334, 0.0, 0.0
0, 10000, -0.6, -0.5, 41443, 51443, 0.32, 129509.375, 0.0, 0.0
1, 1000, -0.75, 0.0, 5691, 6691, 0.03, 189700.0, 0.0, 0.0
1, 2000, -0.8, -0.5, 11379, 13379, 0.057, 199631.57894736843, 0.0, 0.0
1, 3000, -0.6, 0.0, 15823, 18823, 0.081, 195345.67901234567, 0.0, 0.0
1, 4000, -0.65, -0.5, 20070, 24070, 0.102, 196764.70588235295, 0.0, 0.0
1, 5000, -0.75, -1.0, 24261, 29261, 0.126, 192547.61904761905, 0.0, 0.0
1, 6000, -0.8, -1.0, 28431, 34431, 0.147, 193408.16326530612, 0.0, 0.0
1, 7000, -0.75, -1.0, 32989, 39989, 0.17, 194052.94117647057, 0.0, 0.0
1, 8000, -0.6, -0.5, 37799, 45799, 0.194, 194840.20618556702, 0.0, 0.0
1, 9000, -0.6, -0.5, 41856, 50856, 0.214, 195588.78504672897, 0.0, 0.0
1, 10000, -0.6, -0.5, 45868, 55868, 0.236, 194355.93220338985, 0.0, 0.0
2, 1000, -0.7, 0.0, 4291, 5291, 0.025, 171640.0, 0.0, 0.0
2, 2000, -0.45, -0.5, 8502, 10502, 0.051, 166705.88235294117, 0.0, 0.0
2, 3000, -0.6, -0.5, 12665, 15665, 0.074, 171148.64864864867, 0.0, 0.0
2, 4000, -0.35, -0.5, 16822, 20822, 0.101, 166554.45544554453, 0.0, 0.0
2, 5000, -0.5, 0.0, 21110, 26110, 0.127, 166220.47244094487, 0.0, 0.0
2, 6000, -0.55, 0.0, 25810, 31810, 0.152, 169802.63157894736, 0.0, 0.0
2, 7000, -0.4, -0.5, 30830, 37830, 0.181, 170331.49171270718, 0.0, 0.0
2, 8000, -0.6, 0.0, 35833, 43833, 0.21, 170633.33333333334, 0.0, 0.0
2, 9000, -0.25, -0.5, 40818, 49818, 0.235, 173693.61702127662, 0.0, 0.0
2, 10000, -0.55, 0.0, 45819, 55819, 0.261, 175551.724137931, 0.0, 0.0
3, 1000, -0.75, -1.0, 4568, 5568, 0.023, 198608.69565217392, 0.0, 0.0
3, 2000, -0.75, -1.0, 9380, 11380, 0.048, 195416.66666666666, 0.0, 0.0
3, 3000, -0.85, -1.0, 13872, 16872, 0.073, 190027.39726027398, 0.0, 0.0
3, 4000, -0.65, -1.0, 18073, 22073, 0.133, 135887.21804511276, 0.0, 0.0
3, 5000, -0.65, -1.0, 22277, 27277, 0.195, 114241.02564102564, 0.0, 0.0
3, 6000, -0.8, -0.5, 26430, 32430, 0.24, 110125.0, 0.0, 0.0
3, 7000, -0.7, -1.0, 30552, 37552, 0.268, 114000.0, 0.0, 0.0
3, 8000, -0.6, -0.5, 34657, 42657, 0.327, 105984.70948012231, 0.0, 0.0
3, 9000, -0.7, -1.0, 38700, 47700, 0.39, 99230.76923076923, 0.0, 0.0
3, 10000, -0.65, -0.5, 42710, 52710, 0.446, 95762.33183856502, 0.0, 0.0
4, 1000, -0.8, -0.5, 4319, 5319, 0.059, 73203.38983050847, 0.0, 0.0
4, 2000, -0.85, 0.0, 8549, 10549, 0.112, 76330.35714285714, 0.0, 0.0
4, 3000, -0.85, -0.5, 12777, 15777, 0.171, 74719.29824561403, 0.0, 0.0
4, 4000, -0.85, -0.5, 17016, 21016, 0.23, 73982.60869565218, 0.0, 0.0
4, 5000, -0.8, -0.5, 21249, 26249, 0.292, 72770.54794520549, 0.0, 0.0
4, 6000, -0.85, -0.5, 25424, 31424, 0.349, 72848.13753581663, 0.0, 0.0
4, 7000, -0.85, -0.5, 29547, 36547, 0.399, 74052.63157894736, 0.0, 0.0
4, 8000, -0.9, -0.5, 33614, 41614, 0.47, 71519.14893617021, 0.0, 0.0
4, 9000, -0.8, -0.5, 37687, 46687, 0.521, 72335.8925143954, 0.0, 0.0
4, 10000, -0.8, -0.5, 41701, 51701, 0.578, 72147.05882352941, 0.0, 0.0
5, 1000, -0.6, -0.5, 4345, 5345, 0.068, 63897.058823529405, 0.0, 0.0
5, 2000, -0.55, -0.5, 8570, 10570, 0.129, 66434.10852713179, 0.0, 0.0
5, 3000, -0.65, -1.0, 12797, 15797, 0.192, 66651.04166666667, 0.0, 0.0
5, 4000, -0.85, -1.0, 16959, 20959, 0.254, 66767.71653543306, 0.0, 0.0
5, 5000, -0.65, -0.5, 21105, 26105, 0.338, 62440.82840236686, 0.0, 0.0
5, 6000, -0.7, -1.0, 25201, 31201, 0.399, 63160.40100250626, 0.0, 0.0
5, 7000, -0.85, -0.5, 29319, 36319, 0.461, 63598.69848156182, 0.0, 0.0
5, 8000, -0.7, -1.0, 33392, 41392, 0.524, 63725.19083969465, 0.0, 0.0
5, 9000, -0.65, -0.5, 37432, 46432, 0.577, 64873.4835355286, 0.0, 0.0
5, 10000, -0.55, -1.0, 41445, 51445, 0.635, 65267.71653543307, 0.0, 0.0
6, 1000, -0.6, -1.0, 4319, 5319, 0.079, 54670.88607594937, 0.0, 0.0
6, 2000, -0.8, -0.5, 8690, 10690, 0.141, 61631.20567375887, 0.0, 0.0
6, 3000, -0.85, -0.5, 12918, 15918, 0.207, 62405.79710144928, 0.0, 0.0
6, 4000, -0.7, -0.5, 17085, 21085, 0.255, 67000.0, 0.0, 0.0
6, 5000, -0.8, -0.5, 21246, 26246, 0.317, 67022.08201892744, 0.0, 0.0
6, 6000, -0.65, -0.5, 25366, 31366, 0.37, 68556.75675675676, 0.0, 0.0
6, 7000, -0.85, -0.5, 29448, 36448, 0.429, 68643.35664335664, 0.0, 0.0
6, 8000, -0.75, -0.5, 33525, 41525, 0.487, 68839.83572895278, 0.0, 0.0
6, 9000, -0.75, -0.5, 37562, 46562, 0.545, 68921.10091743119, 0.0, 0.0
6, 10000, -0.7, -0.5, 41575, 51575, 0.6, 69291.66666666667, 0.0, 0.0
7, 1000, -0.85, -1.0, 4395, 5395, 0.059, 74491.52542372882, 0.0, 0.0
7, 2000, -0.75, -0.5, 9539, 11539, 0.12, 79491.66666666667, 0.0, 0.0
7, 3000, -0.85, -1.0, 15440, 18440, 0.195, 79179.48717948717, 0.0, 0.0
7, 4000, -0.75, -1.0, 21330, 25330, 0.267, 79887.6404494382, 0.0, 0.0
7, 5000, -0.8, -1.0, 27204, 32204, 0.315, 86361.90476190476, 0.0, 0.0
7, 6000, -0.9, -0.5, 33109, 39109, 0.349, 94868.19484240688, 0.0, 0.0
7, 7000, -0.65, -0.5, 38988, 45988, 0.376, 103691.48936170213, 0.0, 0.0
7, 8000, -0.8, -1.0, 44955, 52955, 0.404, 111274.75247524751, 0.0, 0.0
7, 9000, -0.65, -1.0, 50926, 59926, 0.431, 118157.77262180975, 0.0, 0.0
7, 10000, -0.8, -1.0, 56926, 66926, 0.46, 123752.17391304347, 0.0, 0.0
8, 1000, -0.3, 0.0, 5409, 6409, 0.026, 208038.46153846156, 0.0, 0.0
8, 2000, -0.2, 0.0, 10236, 12236, 0.049, 208897.95918367346, 0.0, 0.0
8, 3000, -0.2, 0.0, 14474, 17474, 0.071, 203859.1549295775, 0.0, 0.0
8, 4000, -0.35, 0.0, 18675, 22675, 0.093, 200806.45161290324, 0.0, 0.0
8, 5000, -0.15, 0.0, 22852, 27852, 0.116, 197000.0, 0.0, 0.0
8, 6000, -0.3, 0.0, 26977, 32977, 0.139, 194079.13669064746, 0.0, 0.0
8, 7000, -0.25, 0.0, 31057, 38057, 0.162, 191709.87654320986, 0.0, 0.0
8, 8000, -0.3, 0.0, 35115, 43115, 0.183, 191885.24590163934, 0.0, 0.0
8, 9000, -0.25, 0.0, 39166, 48166, 0.207, 189207.72946859905, 0.0, 0.0
8, 10000, -0.2, 0.0, 43179, 53179, 0.23, 187734.78260869565, 0.0, 0.0
9, 1000, -0.7, -0.5, 4573, 5573, 0.027, 169370.37037037036, 0.0, 0.0
9, 2000, -0.75, -1.0, 8753, 10753, 0.049, 178632.6530612245, 0.0, 0.0
9, 3000, -0.8, -1.0, 12912, 15912, 0.071, 181859.1549295775, 0.0, 0.0
9, 4000, -0.7, -0.5, 17036, 21036, 0.093, 183182.79569892475, 0.0, 0.0
9, 5000, -0.85, -0.5, 21140, 26140, 0.115, 183826.08695652173, 0.0, 0.0
9, 6000, -0.85, -0.5, 25240, 31240, 0.138, 182898.55072463767, 0.0, 0.0
9, 7000, -0.95, -1.0, 29314, 36314, 0.164, 178743.9024390244, 0.0, 0.0
9, 8000, -0.8, -1.0, 33354, 41354, 0.185, 180291.8918918919, 0.0, 0.0
9, 9000, -0.85, -0.5, 37386, 46386, 0.208, 179740.38461538462, 0.0, 0.0
9, 10000, -0.85, -1.0, 41391, 51391, 0.23, 179960.86956521738, 0.0, 0.0
