TDNTuple3Agt: USESYM:true, P:3, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple3Agt: alpha_init->final:1.0->0.5, epsilon_init->final:0.1->0.0, gamma: 1.0, random 1 9-tuple, evalQ: 2, evalT: 1
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 1000, 0.0, 0.0, 8984, 7984, 0.148, 60702.70270270271, 0.0, 0.0
0, 2000, 0.0, 0.0, 18348, 16348, 0.196, 93612.24489795919, 0.0, 0.0
0, 3000, -0.05, 0.0, 27848, 24848, 0.23, 121078.26086956522, 0.0, 0.0
0, 4000, 0.0, 0.0, 37445, 33445, 0.265, 141301.88679245283, 0.0, 0.0
0, 5000, 0.0, 0.0, 47072, 42072, 0.299, 157431.4381270903, 0.0, 0.0
0, 6000, 0.0, 0.0, 56811, 50811, 0.333, 170603.60360360358, 0.0, 0.0
0, 7000, 0.0, 0.0, 66571, 59571, 0.367, 181392.3705722071, 0.0, 0.0
0, 8000, 0.0, 0.0, 76400, 68400, 0.402, 190049.7512437811, 0.0, 0.0
0, 9000, 0.0, 0.0, 86315, 77315, 0.435, 198425.28735632185, 0.0, 0.0
0, 10000, 0.0, 0.0, 96268, 86268, 0.47, 204825.53191489363, 0.0, 0.0
1, 1000, -0.05, 0.0, 9032, 8032, 0.036, 250888.8888888889, 0.0, 0.0
1, 2000, -0.1, 0.0, 18416, 16416, 0.069, 266898.55072463764, 0.0, 0.0
1, 3000, 0.0, 0.0, 27932, 24932, 0.101, 276554.45544554456, 0.0, 0.0
1, 4000, 0.0, 0.0, 37428, 33428, 0.135, 277244.44444444444, 0.0, 0.0
1, 5000, 0.0, 0.0, 46983, 41983, 0.168, 279660.71428571426, 0.0, 0.0
1, 6000, 0.0, 0.0, 56660, 50660, 0.2, 283300.0, 0.0, 0.0
1, 7000, 0.0, 0.0, 66410, 59410, 0.234, 283803.4188034188, 0.0, 0.0
1, 8000, 0.0, 0.0, 76247, 68247, 0.268, 284503.73134328355, 0.0, 0.0
1, 9000, 0.0, 0.0, 86122, 77122, 0.301, 286119.6013289037, 0.0, 0.0
1, 10000, 0.0, 0.0, 96096, 86096, 0.335, 286853.73134328355, 0.0, 0.0
2, 1000, 0.0, 0.0, 8913, 7913, 0.033, 270090.90909090906, 0.0, 0.0
2, 2000, 0.0, 0.0, 18416, 16416, 0.067, 274865.671641791, 0.0, 0.0
2, 3000, 0.0, 0.0, 27902, 24902, 0.101, 276257.4257425742, 0.0, 0.0
2, 4000, 0.0, 0.0, 37485, 33485, 0.136, 275625.0, 0.0, 0.0
2, 5000, 0.0, 0.0, 47119, 42119, 0.173, 272364.161849711, 0.0, 0.0
2, 6000, 0.0, 0.0, 56841, 50841, 0.208, 273274.0384615385, 0.0, 0.0
2, 7000, 0.0, 0.0, 66652, 59652, 0.242, 275421.4876033058, 0.0, 0.0
2, 8000, 0.0, 0.0, 76503, 68503, 0.289, 264716.26297577855, 0.0, 0.0
2, 9000, 0.0, 0.0, 86403, 77403, 0.323, 267501.5479876161, 0.0, 0.0
2, 10000, 0.0, 0.0, 96377, 86377, 0.357, 269963.5854341737, 0.0, 0.0
3, 1000, -0.3, 0.0, 8928, 7928, 0.031, 288000.0, 0.0, 0.0
3, 2000, 0.0, 0.0, 18288, 16288, 0.063, 290285.71428571426, 0.0, 0.0
3, 3000, 0.0, -0.5, 27825, 24825, 0.096, 289843.75, 0.0, 0.0
3, 4000, 0.0, 0.0, 37296, 33296, 0.129, 289116.27906976745, 0.0, 0.0
3, 5000, 0.0, 0.0, 46831, 41831, 0.162, 289080.2469135802, 0.0, 0.0
3, 6000, 0.0, 0.0, 56495, 50495, 0.198, 285328.2828282828, 0.0, 0.0
3, 7000, 0.0, 0.0, 66235, 59235, 0.24, 275979.1666666667, 0.0, 0.0
3, 8000, 0.0, 0.0, 76045, 68045, 0.275, 276527.2727272727, 0.0, 0.0
3, 9000, 0.0, 0.0, 85986, 76986, 0.31, 277374.1935483871, 0.0, 0.0
3, 10000, -0.05, 0.0, 95953, 85953, 0.344, 278933.1395348837, 0.0, 0.0
4, 1000, 0.0, 0.0, 8957, 7957, 0.03, 298566.6666666667, 0.0, 0.0
4, 2000, 0.0, 0.0, 18340, 16340, 0.063, 291111.1111111111, 0.0, 0.0
4, 3000, 0.0, 0.0, 27828, 24828, 0.095, 292926.3157894737, 0.0, 0.0
4, 4000, 0.0, 0.0, 37410, 33410, 0.13, 287769.23076923075, 0.0, 0.0
4, 5000, 0.0, 0.0, 46998, 41998, 0.164, 286573.1707317073, 0.0, 0.0
4, 6000, 0.0, 0.0, 56736, 50736, 0.205, 276760.97560975613, 0.0, 0.0
4, 7000, 0.0, 0.0, 66493, 59493, 0.238, 279382.3529411765, 0.0, 0.0
4, 8000, 0.0, 0.0, 76330, 68330, 0.272, 280625.0, 0.0, 0.0
4, 9000, 0.0, 0.0, 86222, 77222, 0.307, 280853.4201954398, 0.0, 0.0
4, 10000, 0.0, 0.0, 96181, 86181, 0.341, 282055.7184750733, 0.0, 0.0
5, 1000, 0.0, 0.0, 8949, 7949, 0.031, 288677.4193548387, 0.0, 0.0
5, 2000, -0.05, 0.0, 18276, 16276, 0.064, 285562.5, 0.0, 0.0
5, 3000, -0.05, 0.0, 27723, 24723, 0.097, 285804.1237113402, 0.0, 0.0
5, 4000, 0.0, 0.0, 37294, 33294, 0.131, 284687.0229007634, 0.0, 0.0
5, 5000, 0.0, 0.0, 46951, 41951, 0.168, 279470.2380952381, 0.0, 0.0
5, 6000, 0.0, 0.0, 56674, 50674, 0.201, 281960.1990049751, 0.0, 0.0
5, 7000, 0.0, 0.0, 66400, 59400, 0.237, 280168.776371308, 0.0, 0.0
5, 8000, 0.0, 0.0, 76206, 68206, 0.275, 277112.72727272724, 0.0, 0.0
5, 9000, 0.0, 0.0, 86094, 77094, 0.309, 278621.359223301, 0.0, 0.0
5, 10000, 0.0, 0.0, 96082, 86082, 0.343, 280122.44897959183, 0.0, 0.0
6, 1000, -0.05, 0.0, 8902, 7902, 0.031, 287161.29032258067, 0.0, 0.0
6, 2000, 0.0, 0.0, 18340, 16340, 0.066, 277878.78787878784, 0.0, 0.0
