TDNTuple4Agt: USESYM:true, P:3, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.2->0.2, epsilon_init->final:0.3->0.0, gamma: 1.0, random 1 9-tuple, evalQ: 2, evalT: -1
run, gameNum, evalQ, evalT, actionNum, trnMoves, totalTrainSec, movesSecond, , 
0, 50, -0.7, 0.0, 372, 322, 0.026, 14307.692307692309, 0.0, 0.0
0, 100, -0.75, 0.0, 794, 694, 0.03, 26466.666666666668, 0.0, 0.0
0, 150, -0.75, 0.0, 1201, 1051, 0.033, 36393.93939393939, 0.0, 0.0
0, 200, -0.7, 0.0, 1608, 1408, 0.035, 45942.85714285714, 0.0, 0.0
0, 250, -0.7, 0.0, 2015, 1765, 0.038, 53026.31578947369, 0.0, 0.0
0, 300, -0.75, 0.0, 2437, 2137, 0.041, 59439.0243902439, 0.0, 0.0
0, 350, -0.85, 0.0, 2846, 2496, 0.043, 66186.04651162791, 0.0, 0.0
0, 400, -0.7, 0.0, 3241, 2841, 0.047, 68957.44680851063, 0.0, 0.0
0, 450, -0.7, 0.0, 3636, 3186, 0.05, 72720.0, 0.0, 0.0
0, 500, -0.55, 0.0, 4034, 3534, 0.053, 76113.20754716982, 0.0, 0.0
0, 550, -0.5, 0.0, 4454, 3904, 0.055, 80981.81818181818, 0.0, 0.0
0, 600, -0.4, 0.0, 4889, 4289, 0.058, 84293.10344827586, 0.0, 0.0
0, 650, -0.6, 0.0, 5301, 4651, 0.06, 88350.0, 0.0, 0.0
0, 700, -0.35, 0.0, 5719, 5019, 0.063, 90777.77777777778, 0.0, 0.0
0, 750, -0.35, 0.0, 6166, 5416, 0.065, 94861.53846153845, 0.0, 0.0
0, 800, -0.3, 0.0, 6598, 5798, 0.068, 97029.41176470587, 0.0, 0.0
0, 850, -0.35, 0.0, 7008, 6158, 0.07, 100114.28571428571, 0.0, 0.0
0, 900, -0.25, 0.0, 7432, 6532, 0.072, 103222.22222222223, 0.0, 0.0
0, 950, -0.2, 0.0, 7903, 6953, 0.075, 105373.33333333334, 0.0, 0.0
0, 1000, -0.2, 0.0, 8340, 7340, 0.077, 108311.68831168831, 0.0, 0.0
0, 1050, -0.2, 0.0, 8776, 7726, 0.079, 111088.60759493671, 0.0, 0.0
0, 1100, -0.3, 0.0, 9207, 8107, 0.082, 112280.48780487804, 0.0, 0.0
0, 1150, -0.25, 0.0, 9642, 8492, 0.084, 114785.71428571428, 0.0, 0.0
0, 1200, -0.25, 0.0, 10085, 8885, 0.087, 115919.54022988507, 0.0, 0.0
0, 1250, -0.25, 0.0, 10520, 9270, 0.09, 116888.88888888889, 0.0, 0.0
