controllers.TD.ntuple2.SarsaAgt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: false
controllers.TD.ntuple2.SarsaAgt: alpha_init->final:1.0->0.5, epsilon_init->final:0.1->0.0, gamma: 1.0
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 500, -0.15, 0.0, 3620, 3865
0, 1000, -0.25, -0.5, 7424, 7950
0, 1500, -0.35, -0.5, 11350, 12146
0, 2000, 0.0, 0.0, 15334, 16391
0, 2500, -0.3, 0.0, 19281, 20578
0, 3000, 0.0, 0.0, 23277, 24804
0, 3500, 0.0, 0.0, 27376, 29135
0, 4000, 0.0, 0.0, 31405, 33388
0, 4500, 0.0, 0.0, 35459, 37655
0, 5000, 0.0, 0.0, 39443, 41852
0, 5500, -0.25, 0.0, 43489, 46144
0, 6000, -0.2, 0.0, 47577, 50472
0, 6500, -0.05, 0.0, 51517, 54623
0, 7000, 0.0, 0.0, 55651, 58982
0, 7500, 0.0, 0.0, 59727, 63275
0, 8000, 0.0, 0.0, 63863, 67652
0, 8500, 0.0, 0.0, 68057, 72046
0, 9000, 0.0, 0.0, 72235, 76454
0, 9500, 0.0, 0.0, 76457, 80879
0, 10000, 0.0, 0.0, 80656, 85294
0, 10500, 0.0, 0.0, 84849, 89679
0, 11000, 0.0, 0.0, 89033, 94071
0, 11500, 0.0, 0.0, 93229, 98447
0, 12000, -0.05, 0.0, 97420, 102829
0, 12500, 0.0, 0.0, 101651, 107234
0, 13000, -0.05, 0.0, 105898, 111656
0, 13500, -0.05, 0.0, 110132, 116062
0, 14000, 0.0, 0.0, 114406, 120524
0, 14500, 0.0, 0.0, 118637, 124928
0, 15000, 0.0, 0.0, 122909, 129362
0, 15500, 0.0, 0.0, 127181, 133788
0, 16000, -0.05, 0.0, 131447, 138205
0, 16500, 0.0, 0.0, 135725, 142644
0, 17000, -0.05, 0.0, 140031, 147087
0, 17500, 0.0, 0.0, 144288, 151483
0, 18000, 0.0, 0.0, 148612, 155924
0, 18500, 0.0, 0.0, 152947, 160357
0, 19000, 0.0, 0.0, 157290, 164810
0, 19500, 0.0, 0.0, 161575, 169226
0, 20000, 0.0, 0.0, 165870, 173628
0, 20500, 0.0, 0.0, 170220, 178078
0, 21000, 0.0, 0.0, 174601, 182544
0, 21500, 0.0, 0.0, 178968, 186997
0, 22000, 0.0, 0.0, 183323, 191443
0, 22500, 0.0, 0.0, 187689, 195893
0, 23000, 0.0, 0.0, 192059, 200336
0, 23500, 0.0, 0.0, 196457, 204795
0, 24000, 0.0, 0.0, 200859, 209261
0, 24500, 0.0, 0.0, 205272, 213721
0, 25000, 0.0, -0.5, 209695, 218193
0, 25500, 0.0, 0.0, 214132, 222669
0, 26000, 0.0, 0.0, 218570, 227156
0, 26500, -0.05, 0.0, 223002, 231634
0, 27000, -0.05, 0.0, 227442, 236109
0, 27500, 0.0, 0.0, 231905, 240592
0, 28000, 0.0, 0.0, 236351, 245066
0, 28500, 0.0, 0.0, 240823, 249553
0, 29000, -0.05, 0.0, 245300, 254049
0, 29500, 0.0, 0.0, 249792, 258547
0, 30000, 0.0, 0.0, 254291, 263047
1, 500, -0.8, -1.0, 3624, 3853
1, 1000, -0.65, -0.5, 7209, 7689
1, 1500, -0.2, 0.0, 10964, 11684
1, 2000, -0.4, -0.5, 14917, 15898
1, 2500, -0.2, 0.0, 18813, 20013
1, 3000, -0.05, 0.0, 22863, 24322
1, 3500, -0.1, 0.0, 26914, 28629
1, 4000, -0.05, 0.0, 31005, 32999
1, 4500, -0.1, -0.5, 35107, 37388
1, 5000, -0.05, 0.0, 39140, 41718
1, 5500, 0.0, 0.0, 43211, 46028
1, 6000, -0.25, -0.5, 47319, 50358
1, 6500, -0.15, -0.5, 51402, 54694
1, 7000, -0.15, 0.0, 55587, 59103
1, 7500, -0.2, 0.0, 59696, 63457
1, 8000, -0.15, -0.5, 63867, 67844
1, 8500, -0.2, 0.0, 67987, 72191
1, 9000, -0.15, 0.0, 72170, 76573
1, 9500, 0.0, 0.0, 76297, 80910
1, 10000, 0.0, 0.0, 80454, 85268
1, 10500, 0.0, 0.0, 84610, 89609
1, 11000, -0.05, 0.0, 88760, 93952
1, 11500, -0.05, 0.0, 92908, 98302
1, 12000, -0.05, 0.0, 97114, 102670
1, 12500, 0.0, 0.0, 101336, 107064
1, 13000, -0.05, 0.0, 105569, 111466
1, 13500, 0.0, 0.0, 109757, 115822
1, 14000, 0.0, 0.0, 113968, 120203
1, 14500, 0.0, 0.0, 118223, 124616
1, 15000, 0.0, 0.0, 122491, 129041
1, 15500, -0.05, 0.0, 126794, 133489
1, 16000, 0.0, 0.0, 131070, 137926
1, 16500, -0.15, 0.0, 135324, 142327
1, 17000, 0.0, 0.0, 139589, 146748
1, 17500, 0.0, 0.0, 143911, 151190
1, 18000, 0.0, 0.0, 148205, 155611
1, 18500, 0.0, 0.0, 152527, 160035
1, 19000, 0.0, 0.0, 156803, 164430
1, 19500, 0.0, 0.0, 161167, 168891
1, 20000, 0.0, 0.0, 165495, 173329
1, 20500, 0.0, 0.0, 169824, 177773
1, 21000, 0.0, 0.0, 174145, 182177
1, 21500, 0.0, 0.0, 178499, 186613
1, 22000, 0.0, 0.0, 182873, 191057
1, 22500, 0.0, 0.0, 187238, 195502
1, 23000, 0.0, 0.0, 191577, 199937
1, 23500, 0.0, 0.0, 195980, 204406
1, 24000, 0.0, 0.0, 200372, 208864
1, 24500, 0.0, 0.0, 204791, 213338
1, 25000, 0.0, 0.0, 209205, 217809
1, 25500, 0.0, 0.0, 213637, 222274
1, 26000, 0.0, 0.0, 218075, 226757
1, 26500, 0.0, 0.0, 222504, 231221
1, 27000, 0.0, 0.0, 226943, 235695
1, 27500, 0.0, 0.0, 231407, 240191
1, 28000, 0.0, 0.0, 235879, 244687
1, 28500, 0.0, 0.0, 240346, 249177
1, 29000, 0.0, 0.0, 244828, 253672
1, 29500, 0.0, 0.0, 249316, 258170
1, 30000, 0.0, 0.0, 253814, 262670
2, 500, -0.8, -1.0, 3567, 3831
2, 1000, -0.75, -0.5, 7137, 7640
2, 1500, -0.3, -0.5, 10853, 11629
2, 2000, -0.1, 0.0, 14757, 15838
2, 2500, -0.2, 0.0, 18774, 20108
2, 3000, -0.45, -1.0, 22848, 24457
2, 3500, -0.2, -0.5, 26870, 28746
2, 4000, -0.2, 0.0, 30886, 33013
2, 4500, -0.1, 0.0, 34888, 37259
2, 5000, 0.0, 0.0, 38883, 41477
2, 5500, 0.0, 0.0, 42996, 45800
2, 6000, 0.0, 0.0, 47087, 50097
2, 6500, 0.0, 0.0, 51194, 54421
2, 7000, 0.0, 0.0, 55404, 58839
2, 7500, 0.0, 0.0, 59509, 63160
2, 8000, 0.0, 0.0, 63622, 67466
2, 8500, 0.0, 0.0, 67746, 71764
2, 9000, 0.0, 0.0, 71867, 76077
2, 9500, 0.0, 0.0, 76036, 80428
2, 10000, 0.0, 0.0, 80142, 84685
2, 10500, 0.0, 0.0, 84249, 88976
2, 11000, 0.0, 0.0, 88418, 93347
2, 11500, 0.0, 0.0, 92602, 97743
2, 12000, 0.0, 0.0, 96793, 102127
2, 12500, 0.0, 0.0, 101039, 106556
2, 13000, 0.0, 0.0, 105262, 110974
2, 13500, 0.0, 0.0, 109513, 115369
2, 14000, 0.0, 0.0, 113761, 119767
2, 14500, 0.0, 0.0, 118011, 124185
2, 15000, 0.0, 0.0, 122283, 128618
2, 15500, 0.0, 0.0, 126566, 133043
2, 16000, 0.0, 0.0, 130832, 137454
2, 16500, 0.0, 0.0, 135134, 141903
2, 17000, 0.0, 0.0, 139428, 146344
2, 17500, 0.0, 0.0, 143657, 150728
2, 18000, 0.0, 0.0, 147962, 155174
2, 18500, 0.0, 0.0, 152284, 159620
2, 19000, 0.0, 0.0, 156598, 164052
2, 19500, 0.0, 0.0, 160902, 168494
2, 20000, 0.0, 0.0, 165244, 172933
2, 20500, 0.0, 0.0, 169586, 177376
2, 21000, 0.0, 0.0, 173952, 181825
2, 21500, 0.0, 0.0, 178287, 186244
2, 22000, 0.0, 0.0, 182677, 190704
2, 22500, 0.0, 0.0, 187053, 195161
2, 23000, 0.0, 0.0, 191438, 199611
2, 23500, 0.0, 0.0, 195819, 204066
