controllers.TD.ntuple2.SarsaAgt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.SarsaAgt: alpha_init->final:1.0->0.5, epsilon_init->final:0.1->0.0, gamma: 1.0
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 500, -0.5, -0.5, 3779, 3779
0, 1000, -0.65, -0.5, 7864, 7864
0, 1500, -0.1, 0.0, 11937, 11937
0, 2000, -0.15, 0.0, 16163, 16163
0, 2500, 0.0, 0.0, 20399, 20399
0, 3000, -0.1, -0.5, 24603, 24603
0, 3500, 0.0, 0.0, 28861, 28861
0, 4000, 0.0, 0.0, 33148, 33148
0, 4500, 0.0, -0.5, 37496, 37496
0, 5000, 0.0, 0.0, 41758, 41758
0, 5500, 0.0, 0.0, 46078, 46078
0, 6000, 0.0, 0.0, 50368, 50368
0, 6500, 0.0, 0.0, 54658, 54658
0, 7000, 0.0, 0.0, 58978, 58978
0, 7500, 0.0, 0.0, 63328, 63328
0, 8000, 0.0, 0.0, 67653, 67653
0, 8500, 0.0, 0.0, 71936, 71936
0, 9000, 0.0, 0.0, 76247, 76247
0, 9500, 0.0, 0.0, 80567, 80567
0, 10000, 0.0, 0.0, 84856, 84856
0, 10500, 0.0, 0.0, 89217, 89217
0, 11000, 0.0, 0.0, 93554, 93554
0, 11500, 0.0, 0.0, 97923, 97923
0, 12000, 0.0, 0.0, 102287, 102287
0, 12500, 0.0, 0.0, 106626, 106626
0, 13000, 0.0, 0.0, 110984, 110984
0, 13500, 0.0, 0.0, 115350, 115350
0, 14000, 0.0, 0.0, 119736, 119736
0, 14500, 0.0, 0.0, 124128, 124128
0, 15000, 0.0, 0.0, 128488, 128488
0, 15500, 0.0, 0.0, 132878, 132878
0, 16000, 0.0, 0.0, 137274, 137274
0, 16500, 0.0, 0.0, 141650, 141650
0, 17000, 0.0, 0.0, 146044, 146044
0, 17500, 0.0, 0.0, 150432, 150432
0, 18000, 0.0, 0.0, 154815, 154815
0, 18500, 0.0, 0.0, 159214, 159214
0, 19000, 0.0, 0.0, 163599, 163599
0, 19500, 0.0, 0.0, 168007, 168007
0, 20000, 0.0, 0.0, 172424, 172424
0, 20500, 0.0, 0.0, 176852, 176852
0, 21000, 0.0, 0.0, 181290, 181290
0, 21500, 0.0, 0.0, 185731, 185731
0, 22000, 0.0, 0.0, 190138, 190138
0, 22500, 0.0, 0.0, 194538, 194538
0, 23000, 0.0, 0.0, 198973, 198973
0, 23500, 0.0, 0.0, 203416, 203416
0, 24000, 0.0, 0.0, 207862, 207862
0, 24500, 0.0, 0.0, 212303, 212303
0, 25000, 0.0, 0.0, 216757, 216757
0, 25500, 0.0, 0.0, 221221, 221221
0, 26000, 0.0, 0.0, 225695, 225695
0, 26500, 0.0, 0.0, 230150, 230150
0, 27000, 0.0, 0.0, 234623, 234623
0, 27500, 0.0, 0.0, 239104, 239104
0, 28000, 0.0, 0.0, 243578, 243578
0, 28500, 0.0, 0.0, 248065, 248065
0, 29000, 0.0, 0.0, 252557, 252557
0, 29500, 0.0, 0.0, 257053, 257053
0, 30000, 0.0, 0.0, 261547, 261547
1, 500, -0.85, -0.5, 3851, 3851
1, 1000, -0.8, -1.0, 7647, 7647
1, 1500, -0.25, 0.0, 11687, 11687
1, 2000, 0.0, 0.0, 15821, 15821
1, 2500, 0.0, -0.5, 20039, 20039
1, 3000, 0.0, 0.0, 24278, 24278
1, 3500, 0.0, 0.0, 28539, 28539
1, 4000, 0.0, 0.0, 32825, 32825
1, 4500, -0.05, 0.0, 37158, 37158
1, 5000, 0.0, 0.0, 41385, 41385
1, 5500, 0.0, 0.0, 45721, 45721
1, 6000, 0.0, 0.0, 50063, 50063
1, 6500, 0.0, 0.0, 54353, 54353
1, 7000, 0.0, 0.0, 58641, 58641
1, 7500, 0.0, 0.0, 62892, 62892
1, 8000, 0.0, 0.0, 67196, 67196
1, 8500, 0.0, 0.0, 71498, 71498
1, 9000, 0.0, 0.0, 75783, 75783
1, 9500, 0.0, 0.0, 80134, 80134
1, 10000, 0.0, 0.0, 84435, 84435
1, 10500, 0.0, 0.0, 88751, 88751
1, 11000, 0.0, 0.0, 93126, 93126
1, 11500, 0.0, 0.0, 97479, 97479
1, 12000, 0.0, 0.0, 101773, 101773
1, 12500, 0.0, 0.0, 106128, 106128
1, 13000, 0.0, 0.0, 110435, 110435
1, 13500, 0.0, 0.0, 114771, 114771
1, 14000, 0.0, 0.0, 119143, 119143
1, 14500, -0.05, 0.0, 123549, 123549
1, 15000, -0.1, 0.0, 127926, 127926
1, 15500, 0.0, 0.0, 132285, 132285
1, 16000, 0.0, 0.0, 136682, 136682
1, 16500, 0.0, 0.0, 141117, 141117
1, 17000, 0.0, 0.0, 145508, 145508
1, 17500, 0.0, 0.0, 149883, 149883
1, 18000, 0.0, 0.0, 154273, 154273
1, 18500, 0.0, 0.0, 158639, 158639
1, 19000, 0.0, 0.0, 163024, 163024
1, 19500, 0.0, 0.0, 167446, 167446
1, 20000, 0.0, 0.0, 171868, 171868
1, 20500, 0.0, 0.0, 176292, 176292
1, 21000, 0.0, 0.0, 180666, 180666
1, 21500, 0.0, 0.0, 185052, 185052
1, 22000, 0.0, 0.0, 189487, 189487
1, 22500, 0.0, 0.0, 193931, 193931
1, 23000, 0.0, 0.0, 198337, 198337
1, 23500, 0.0, 0.0, 202774, 202774
1, 24000, 0.0, 0.0, 207239, 207239
1, 24500, 0.0, 0.0, 211676, 211676
1, 25000, 0.0, 0.0, 216129, 216129
1, 25500, 0.0, 0.0, 220563, 220563
1, 26000, 0.0, 0.0, 225022, 225022
1, 26500, 0.0, 0.0, 229474, 229474
1, 27000, 0.0, 0.0, 233958, 233958
1, 27500, 0.0, 0.0, 238423, 238423
1, 28000, 0.0, 0.0, 242914, 242914
1, 28500, 0.0, 0.0, 247405, 247405
1, 29000, 0.0, 0.0, 251893, 251893
1, 29500, 0.0, 0.0, 256383, 256383
1, 30000, 0.0, 0.0, 260883, 260883
2, 500, -0.9, -1.0, 3843, 3843
2, 1000, -0.95, -1.0, 7618, 7618
2, 1500, -0.45, -0.5, 11588, 11588
2, 2000, -0.2, 0.0, 15670, 15670
2, 2500, -0.2, 0.0, 19862, 19862
2, 3000, -0.25, 0.0, 24099, 24099
2, 3500, 0.0, 0.0, 28367, 28367
2, 4000, 0.0, 0.0, 32611, 32611
2, 4500, -0.05, 0.0, 36805, 36805
2, 5000, 0.0, 0.0, 41043, 41043
2, 5500, 0.0, 0.0, 45279, 45279
2, 6000, 0.0, 0.0, 49574, 49574
2, 6500, 0.0, 0.0, 53913, 53913
2, 7000, 0.0, 0.0, 58176, 58176
2, 7500, -0.05, -0.5, 62441, 62441
2, 8000, 0.0, 0.0, 66747, 66747
2, 8500, -0.05, 0.0, 71060, 71060
2, 9000, 0.0, 0.0, 75344, 75344
2, 9500, 0.0, 0.0, 79677, 79677
2, 10000, 0.0, 0.0, 84019, 84019
2, 10500, 0.0, 0.0, 88319, 88319
2, 11000, 0.0, 0.0, 92611, 92611
2, 11500, 0.0, 0.0, 97004, 97004
2, 12000, 0.0, 0.0, 101354, 101354
2, 12500, 0.0, 0.0, 105682, 105682
2, 13000, 0.0, 0.0, 109955, 109955
2, 13500, 0.0, 0.0, 114291, 114291
2, 14000, 0.0, 0.0, 118644, 118644
2, 14500, 0.0, 0.0, 122976, 122976
2, 15000, 0.0, 0.0, 127300, 127300
2, 15500, 0.0, 0.0, 131630, 131630
2, 16000, 0.0, 0.0, 136029, 136029
2, 16500, 0.0, 0.0, 140425, 140425
2, 17000, 0.0, 0.0, 144788, 144788
2, 17500, 0.0, 0.0, 149192, 149192
2, 18000, 0.0, 0.0, 153603, 153603
2, 18500, 0.0, 0.0, 157995, 157995
2, 19000, 0.0, 0.0, 162370, 162370
2, 19500, 0.0, 0.0, 166820, 166820
2, 20000, 0.0, 0.0, 171225, 171225
2, 20500, 0.0, 0.0, 175627, 175627
2, 21000, 0.0, 0.0, 180054, 180054
2, 21500, 0.0, 0.0, 184505, 184505
2, 22000, 0.0, 0.0, 188941, 188941
2, 22500, 0.0, 0.0, 193353, 193353
2, 23000, 0.0, 0.0, 197787, 197787
2, 23500, 0.0, 0.0, 202224, 202224
2, 24000, 0.0, 0.0, 206684, 206684
2, 24500, 0.0, 0.0, 211115, 211115
2, 25000, 0.0, 0.0, 215586, 215586
2, 25500, 0.0, 0.0, 220073, 220073
2, 26000, 0.0, 0.0, 224535, 224535
2, 26500, 0.0, 0.0, 228991, 228991
2, 27000, 0.0, 0.0, 233442, 233442
2, 27500, 0.0, 0.0, 237900, 237900
2, 28000, 0.0, 0.0, 242366, 242366
2, 28500, 0.0, 0.0, 246864, 246864
2, 29000, 0.0, 0.0, 251362, 251362
2, 29500, 0.0, 0.0, 255860, 255860
2, 30000, 0.0, 0.0, 260359, 260359
3, 500, -0.95, -1.0, 3806, 3806
3, 1000, -0.65, -1.0, 7709, 7709
3, 1500, -0.35, 0.0, 11674, 11674
3, 2000, -0.05, 0.0, 15754, 15754
3, 2500, -0.35, 0.0, 19959, 19959
3, 3000, -0.05, 0.0, 24250, 24250
3, 3500, 0.0, 0.0, 28528, 28528
3, 4000, -0.05, -0.5, 32810, 32810
3, 4500, 0.0, 0.0, 37121, 37121
3, 5000, -0.15, -0.5, 41406, 41406
3, 5500, 0.0, 0.0, 45657, 45657
3, 6000, 0.0, 0.0, 49996, 49996
3, 6500, 0.0, 0.0, 54277, 54277
3, 7000, 0.0, 0.0, 58637, 58637
3, 7500, 0.0, 0.0, 62949, 62949
3, 8000, 0.0, 0.0, 67313, 67313
3, 8500, 0.0, 0.0, 71559, 71559
3, 9000, 0.0, 0.0, 75890, 75890
3, 9500, 0.0, 0.0, 80103, 80103
3, 10000, 0.0, 0.0, 84391, 84391
3, 10500, 0.0, 0.0, 88754, 88754
3, 11000, 0.0, 0.0, 93124, 93124
3, 11500, 0.0, 0.0, 97456, 97456
3, 12000, 0.0, 0.0, 101804, 101804
3, 12500, 0.0, 0.0, 106148, 106148
3, 13000, 0.0, 0.0, 110491, 110491
3, 13500, 0.0, 0.0, 114853, 114853
3, 14000, 0.0, 0.0, 119142, 119142
3, 14500, 0.0, 0.0, 123496, 123496
3, 15000, 0.0, 0.0, 127860, 127860
3, 15500, 0.0, 0.0, 132202, 132202
3, 16000, 0.0, 0.0, 136576, 136576
3, 16500, 0.0, 0.0, 140955, 140955
3, 17000, 0.0, 0.0, 145346, 145346
3, 17500, 0.0, 0.0, 149731, 149731
3, 18000, 0.0, 0.0, 154101, 154101
3, 18500, 0.0, 0.0, 158508, 158508
3, 19000, 0.0, 0.0, 162875, 162875
3, 19500, 0.0, 0.0, 167259, 167259
3, 20000, 0.0, 0.0, 171671, 171671
3, 20500, 0.0, 0.0, 176063, 176063
3, 21000, 0.0, 0.0, 180488, 180488
3, 21500, 0.0, 0.0, 184892, 184892
3, 22000, 0.0, 0.0, 189310, 189310
3, 22500, 0.0, 0.0, 193731, 193731
3, 23000, 0.0, 0.0, 198170, 198170
3, 23500, 0.0, 0.0, 202598, 202598
3, 24000, 0.0, 0.0, 207045, 207045
3, 24500, 0.0, 0.0, 211525, 211525
3, 25000, 0.0, 0.0, 216002, 216002
3, 25500, 0.0, 0.0, 220475, 220475
3, 26000, 0.0, 0.0, 224941, 224941
3, 26500, 0.0, 0.0, 229423, 229423
3, 27000, 0.0, 0.0, 233906, 233906
3, 27500, 0.0, 0.0, 238392, 238392
3, 28000, 0.0, 0.0, 242865, 242865
3, 28500, 0.0, 0.0, 247357, 247357
3, 29000, 0.0, 0.0, 251851, 251851
3, 29500, 0.0, 0.0, 256344, 256344
3, 30000, 0.0, 0.0, 260840, 260840
4, 500, -0.85, -1.0, 3834, 3834
4, 1000, -0.5, 0.0, 7654, 7654
4, 1500, -0.05, 0.0, 11604, 11604
4, 2000, 0.0, 0.0, 15761, 15761
4, 2500, -0.15, -0.5, 20043, 20043
4, 3000, 0.0, 0.0, 24282, 24282
4, 3500, 0.0, 0.0, 28551, 28551
4, 4000, -0.2, 0.0, 32816, 32816
4, 4500, 0.0, 0.0, 37057, 37057
4, 5000, 0.0, 0.0, 41368, 41368
4, 5500, 0.0, 0.0, 45601, 45601
4, 6000, -0.1, 0.0, 49905, 49905
4, 6500, 0.0, 0.0, 54150, 54150
4, 7000, 0.0, 0.0, 58455, 58455
4, 7500, 0.0, 0.0, 62726, 62726
4, 8000, -0.05, 0.0, 67031, 67031
4, 8500, 0.0, 0.0, 71360, 71360
4, 9000, 0.0, 0.0, 75660, 75660
4, 9500, 0.0, 0.0, 79990, 79990
4, 10000, 0.0, 0.0, 84318, 84318
4, 10500, 0.0, 0.0, 88688, 88688
4, 11000, 0.0, 0.0, 93012, 93012
4, 11500, 0.0, 0.0, 97376, 97376
4, 12000, 0.0, 0.0, 101740, 101740
4, 12500, 0.0, 0.0, 106137, 106137
4, 13000, 0.0, 0.0, 110469, 110469
4, 13500, 0.0, 0.0, 114796, 114796
4, 14000, 0.0, 0.0, 119133, 119133
4, 14500, 0.0, 0.0, 123543, 123543
4, 15000, 0.0, 0.0, 127910, 127910
4, 15500, 0.0, 0.0, 132286, 132286
4, 16000, 0.0, 0.0, 136670, 136670
4, 16500, 0.0, 0.0, 141056, 141056
4, 17000, 0.0, 0.0, 145418, 145418
4, 17500, 0.0, 0.0, 149793, 149793
4, 18000, 0.0, 0.0, 154201, 154201
4, 18500, 0.0, 0.0, 158615, 158615
4, 19000, 0.0, 0.0, 162989, 162989
4, 19500, 0.0, 0.0, 167371, 167371
4, 20000, 0.0, 0.0, 171764, 171764
4, 20500, 0.0, 0.0, 176144, 176144
4, 21000, 0.0, 0.0, 180547, 180547
4, 21500, 0.0, 0.0, 184966, 184966
4, 22000, 0.0, 0.0, 189392, 189392
4, 22500, 0.0, 0.0, 193832, 193832
4, 23000, 0.0, 0.0, 198270, 198270
4, 23500, 0.0, 0.0, 202702, 202702
4, 24000, 0.0, 0.0, 207143, 207143
4, 24500, 0.0, 0.0, 211584, 211584
4, 25000, 0.0, 0.0, 216016, 216016
4, 25500, 0.0, 0.0, 220485, 220485
4, 26000, 0.0, 0.0, 224969, 224969
4, 26500, 0.0, 0.0, 229464, 229464
4, 27000, 0.0, 0.0, 233936, 233936
4, 27500, 0.0, 0.0, 238419, 238419
4, 28000, 0.0, 0.0, 242910, 242910
4, 28500, 0.0, 0.0, 247386, 247386
4, 29000, 0.0, 0.0, 251861, 251861
4, 29500, 0.0, 0.0, 256350, 256350
4, 30000, 0.0, 0.0, 260850, 260850
5, 500, -0.7, -0.5, 3802, 3802
5, 1000, -0.8, -0.5, 7568, 7568
5, 1500, -0.05, 0.0, 11537, 11537
5, 2000, -0.2, 0.0, 15684, 15684
5, 2500, -0.1, -0.5, 19922, 19922
5, 3000, 0.0, 0.0, 24172, 24172
5, 3500, -0.15, 0.0, 28420, 28420
5, 4000, 0.0, 0.0, 32724, 32724
5, 4500, 0.0, 0.0, 36984, 36984
5, 5000, 0.0, 0.0, 41234, 41234
5, 5500, 0.0, 0.0, 45510, 45510
5, 6000, 0.0, 0.0, 49819, 49819
5, 6500, 0.0, 0.0, 54078, 54078
5, 7000, -0.1, 0.0, 58366, 58366
5, 7500, 0.0, 0.0, 62692, 62692
5, 8000, 0.0, 0.0, 66990, 66990
5, 8500, 0.0, 0.0, 71225, 71225
5, 9000, 0.0, 0.0, 75556, 75556
5, 9500, 0.0, 0.0, 79883, 79883
5, 10000, 0.0, 0.0, 84211, 84211
5, 10500, 0.0, 0.0, 88524, 88524
5, 11000, -0.05, 0.0, 92868, 92868
5, 11500, 0.0, 0.0, 97208, 97208
5, 12000, 0.0, 0.0, 101579, 101579
5, 12500, 0.0, 0.0, 105907, 105907
5, 13000, 0.0, 0.0, 110240, 110240
5, 13500, 0.0, 0.0, 114550, 114550
5, 14000, 0.0, 0.0, 118950, 118950
5, 14500, 0.0, 0.0, 123324, 123324
5, 15000, 0.0, 0.0, 127666, 127666
5, 15500, 0.0, 0.0, 132037, 132037
5, 16000, 0.0, 0.0, 136408, 136408
5, 16500, 0.0, 0.0, 140771, 140771
5, 17000, 0.0, 0.0, 145157, 145157
5, 17500, 0.0, 0.0, 149552, 149552
5, 18000, 0.0, 0.0, 153912, 153912
5, 18500, -0.05, 0.0, 158299, 158299
5, 19000, 0.0, 0.0, 162701, 162701
5, 19500, 0.0, 0.0, 167085, 167085
5, 20000, 0.0, 0.0, 171480, 171480
5, 20500, 0.0, 0.0, 175887, 175887
5, 21000, 0.0, 0.0, 180317, 180317
5, 21500, 0.0, 0.0, 184716, 184716
5, 22000, 0.0, 0.0, 189158, 189158
5, 22500, 0.0, 0.0, 193577, 193577
5, 23000, 0.0, 0.0, 198027, 198027
5, 23500, 0.0, 0.0, 202485, 202485
5, 24000, 0.0, 0.0, 206941, 206941
5, 24500, 0.0, 0.0, 211384, 211384
5, 25000, 0.0, 0.0, 215837, 215837
5, 25500, 0.0, 0.0, 220298, 220298
5, 26000, 0.0, 0.0, 224734, 224734
5, 26500, 0.0, 0.0, 229200, 229200
5, 27000, 0.0, 0.0, 233664, 233664
5, 27500, 0.0, 0.0, 238135, 238135
5, 28000, 0.0, 0.0, 242628, 242628
5, 28500, 0.0, 0.0, 247121, 247121
5, 29000, 0.0, 0.0, 251613, 251613
5, 29500, 0.0, 0.0, 256095, 256095
5, 30000, 0.0, 0.0, 260589, 260589
6, 500, -0.9, -1.0, 3816, 3816
6, 1000, -0.7, -0.5, 7692, 7692
6, 1500, -0.45, -1.0, 11706, 11706
6, 2000, -0.05, 0.0, 15960, 15960
6, 2500, -0.05, 0.0, 20226, 20226
6, 3000, 0.0, 0.0, 24483, 24483
6, 3500, 0.0, 0.0, 28734, 28734
6, 4000, 0.0, 0.0, 33079, 33079
6, 4500, -0.1, -0.5, 37333, 37333
6, 5000, 0.0, 0.0, 41629, 41629
6, 5500, 0.0, 0.0, 45988, 45988
6, 6000, 0.0, 0.0, 50309, 50309
6, 6500, 0.0, 0.0, 54652, 54652
6, 7000, -0.1, 0.0, 59041, 59041
6, 7500, 0.0, 0.0, 63341, 63341
6, 8000, 0.0, 0.0, 67687, 67687
6, 8500, 0.0, 0.0, 72004, 72004
6, 9000, -0.1, 0.0, 76281, 76281
6, 9500, -0.15, 0.0, 80583, 80583
6, 10000, -0.15, 0.0, 84912, 84912
6, 10500, 0.0, 0.0, 89232, 89232
6, 11000, 0.0, 0.0, 93592, 93592
6, 11500, 0.0, 0.0, 97900, 97900
6, 12000, 0.0, 0.0, 102264, 102264
