controllers.TD.ntuple2.TDNTuple3Agt: USESYMMETRY:true, NORMALIZE:false, sigmoid:tanh, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
controllers.TD.ntuple2.TDNTuple3Agt: alpha_init->final:1.0->0.5, epsilon_init->final:0.1->0.0, gamma: 1.0
run, gameNum, evalQ, evalT, actionNum, trnMoves
0, 500, -0.9, -0.5, 1690, 2690
0, 1000, -0.7, -0.5, 3271, 5271
0, 1500, -0.8, -0.5, 4860, 7860
0, 2000, -0.9, -0.5, 6437, 10437
0, 2500, -0.9, -0.5, 8016, 13016
0, 3000, -0.75, -0.5, 9578, 15578
0, 3500, -0.8, -0.5, 11190, 18190
0, 4000, -0.7, -0.5, 12767, 20767
0, 4500, -0.75, -0.5, 14387, 23387
0, 5000, -0.85, -0.5, 16002, 26002
0, 5500, -0.85, -0.5, 17634, 28634
0, 6000, -0.8, -0.5, 19222, 31222
0, 6500, -0.85, -0.5, 20810, 33810
0, 7000, -0.75, -0.5, 22411, 36411
0, 7500, -0.75, -0.5, 24036, 39036
0, 8000, -0.7, -0.5, 25662, 41662
0, 8500, -0.75, -0.5, 27245, 44245
0, 9000, -0.75, -0.5, 28838, 46838
0, 9500, -0.85, -0.5, 30394, 49394
0, 10000, -0.65, -0.5, 31946, 51946
0, 10500, -0.9, -0.5, 33508, 54508
0, 11000, -0.85, 0.0, 35058, 57058
0, 11500, -0.8, -0.5, 36611, 59611
0, 12000, -0.75, -0.5, 38158, 62158
0, 12500, -0.75, -0.5, 39703, 64703
0, 13000, -0.8, -0.5, 41240, 67240
0, 13500, -0.85, -0.5, 42801, 69801
0, 14000, -0.85, -0.5, 44359, 72359
0, 14500, -0.75, -0.5, 45894, 74894
0, 15000, -0.8, -0.5, 47465, 77465
0, 15500, -0.8, -0.5, 49027, 80027
0, 16000, -0.85, -0.5, 50585, 82585
0, 16500, -0.9, -0.5, 52128, 85128
0, 17000, -0.8, -0.5, 53671, 87671
0, 17500, -0.85, -0.5, 55203, 90203
0, 18000, -0.85, -0.5, 56745, 92745
0, 18500, -0.85, -0.5, 58282, 95282
0, 19000, -0.85, -0.5, 59821, 97821
0, 19500, -0.8, -0.5, 61351, 100351
0, 20000, -0.75, -0.5, 62873, 102873
0, 20500, -0.85, -0.5, 64391, 105391
0, 21000, -0.8, -0.5, 65928, 107928
0, 21500, -0.85, -0.5, 67468, 110468
0, 22000, -0.75, -0.5, 69001, 113001
0, 22500, -0.85, -0.5, 70535, 115535
0, 23000, -0.75, -0.5, 72060, 118060
0, 23500, -0.9, -0.5, 73590, 120590
0, 24000, -0.8, -0.5, 75120, 123120
0, 24500, -0.8, -0.5, 76643, 125643
0, 25000, -0.8, -0.5, 78161, 128161
0, 25500, -0.9, -0.5, 79682, 130682
0, 26000, -0.85, -0.5, 81197, 133197
0, 26500, -0.8, -0.5, 82712, 135712
0, 27000, -0.85, -0.5, 84224, 138224
0, 27500, -0.8, -0.5, 85740, 140740
0, 28000, -0.8, -0.5, 87253, 143253
0, 28500, -0.8, -0.5, 88768, 145768
0, 29000, -0.8, -0.5, 90274, 148274
0, 29500, -0.7, -0.5, 91781, 150781
0, 30000, -0.9, -0.5, 93282, 153282
1, 500, -0.85, -1.0, 2116, 3116
1, 1000, -0.5, -0.5, 4138, 6138
1, 1500, -0.75, -0.5, 5722, 8722
1, 2000, -0.6, -0.5, 7303, 11303
1, 2500, -0.6, 0.0, 8888, 13888
1, 3000, -0.6, -0.5, 10495, 16495
1, 3500, -0.65, 0.0, 12091, 19091
